Filter Number,Mean Activation in Class
476,125.59694311113063
488,98.85123357342941
165,62.98073135872918
363,61.195018615158986
284,54.568843407136946
199,53.43052483523463
159,51.94221074495911
418,49.73322451540111
425,49.58908599148666
491,48.31334631092002
203,47.03890291223199
232,44.13808360913746
458,44.01728243518464
431,43.400027558567
47,43.26087291194064
312,42.38272421922277
241,42.02911822032923
435,41.633330138630654
240,40.25270246372994
120,39.67388166500146
290,37.54177347034578
179,35.806984039032024
102,33.71661988800317
364,32.47265910633866
71,31.50104353233146
465,31.14564338930826
10,30.882022499797664
211,30.74442152855203
22,30.6884485922833
343,29.501404713132835
457,29.403844163584136
215,29.383195055873532
367,28.415244451322657
433,27.94173729731096
246,27.321824379379894
498,26.981755647515907
193,26.929923224040422
57,26.887251448090744
355,26.50775283255166
351,26.33802963799335
293,26.207208622445762
385,26.178736370956326
0,26.176963161497756
474,25.753352206666097
467,25.189062151869756
315,24.784056690971703
141,24.634222424474096
51,24.496635554994857
448,23.74364338678314
197,23.620893992241307
83,23.00234538513246
451,22.88973445231127
415,22.50833896964453
2,21.62813980365451
259,21.423646846569856
23,21.302593605989433
153,21.229415611517492
446,21.140383761653016
382,21.045408482124902
493,20.664273016489556
210,20.498131207221466
65,20.47272106320671
370,20.215625217106677
237,19.853270207324183
149,19.71548976561937
95,19.547141574342124
272,19.51972005378719
163,19.449789056941672
411,19.376225270868364
400,18.98703902755717
390,18.941434380632842
39,18.705318009270286
77,18.680339896209567
345,18.580959453222434
142,18.53352813816867
202,18.26864829187323
234,18.20834792205491
368,18.17498683697059
146,18.07134254932188
472,18.043960342045857
396,17.562836913817755
365,17.470662342612368
478,17.295079106315793
360,17.162542708648655
17,16.950687231137398
482,16.83985238522412
101,16.5151559557756
463,16.48955592038404
449,16.334498072070144
455,15.94248948839257
7,15.860069979376844
84,15.85945409821857
510,15.554640986643777
100,15.492268272773433
269,15.424280116985464
310,15.355603418289173
461,15.326781138675948
408,15.297146217125484
21,15.19027655733491
217,14.894028655348793
308,14.573371174969415
156,14.431456632436939
48,14.315594245213148
99,14.289230834302343
205,14.263037404873849
442,14.184597091631764
34,14.115669221508442
426,14.000528229623571
340,13.879691662444513
41,13.750539135038927
212,13.61819843956361
35,13.609806592881613
200,13.579655039738185
225,13.497701362427815
52,13.442597280666345
190,13.262761561532608
395,13.210767699179696
257,13.197173757773166
170,13.196178841462057
134,13.153744005189294
277,13.127879527712977
118,13.060055130855558
88,13.002873486734282
337,12.981028477274917
114,12.87069350169589
31,12.761123584575587
307,12.715089173446549
219,12.594641379458379
1,12.553915401712844
421,12.46968167777137
428,12.35813089833642
366,12.08865350337166
302,11.961365514886783
434,11.930559290487688
150,11.890843904172165
207,11.855769996732597
282,11.812385651434617
430,11.683589308643034
296,11.683575185532417
432,11.603651627562318
377,11.595654439298428
245,11.579278642226406
424,11.502659479956357
135,11.494611368835338
53,11.38816957841107
160,11.324931027612212
314,11.268322407965622
63,11.262091953302377
140,11.225844890212542
317,11.019981348600242
301,10.920374641391497
139,10.869237242494275
168,10.864137560756852
499,10.863078820970426
177,10.847772765919954
50,10.829644320972411
97,10.797254221311357
78,10.764945930667608
46,10.76149538224729
453,10.670677505125818
74,10.622591161905135
173,10.607065506554315
485,10.549863815814554
254,10.48748814063946
334,10.398555187463241
256,10.319447396198507
181,10.204922617760827
484,10.124390135568238
218,10.10992267521246
14,10.041746698300447
330,10.030876390247558
323,10.001682659917453
81,9.982964793952204
356,9.859536443755454
213,9.677022341560068
184,9.641339591928165
413,9.53687182593761
260,9.233694978795402
412,9.226318927372086
147,9.190459805490248
393,9.177386661711433
471,9.01364766300263
69,8.972903612363933
352,8.92922572307066
362,8.920642658796256
192,8.920143196095555
144,8.873304023713214
93,8.873001950899278
329,8.855397895560314
109,8.76119821528644
206,8.716805711282351
43,8.695276778840535
72,8.695195608923843
75,8.64306996041083
348,8.618634678813127
131,8.58609734156417
176,8.454403258533043
143,8.395172502822204
158,8.371180461981258
287,8.292900072734678
439,8.283758294951554
36,8.234505429960059
417,8.198218710069904
33,8.171502296207922
394,8.10804462746596
167,8.053731941719155
414,8.025038457605254
15,7.984227443304184
327,7.904074759655727
121,7.8774867467780485
509,7.8345476386584965
273,7.734142836892839
178,7.712848308216898
86,7.6976831006626965
300,7.666714651433686
508,7.595232674287566
469,7.594835457332851
204,7.5655891540339635
361,7.54793309065042
5,7.51719109848459
379,7.510568372592618
112,7.478429295486299
76,7.366183642732752
407,7.329929637626418
136,7.306187004940184
378,7.239893463884371
503,7.235218811579461
115,7.132090380741361
214,7.086578754038257
19,7.031376654315014
339,6.984514975451444
401,6.964451731792117
20,6.946305051514858
188,6.901127295623975
96,6.876753557569405
429,6.867610394542164
304,6.825644234524516
59,6.8053811396718045
6,6.726030401474852
169,6.669463057709502
353,6.593764550747226
376,6.5180167048984545
297,6.513692088653991
250,6.434582538673777
489,6.422262408379173
341,6.404079889718653
497,6.398818238952262
373,6.39376899264546
221,6.376386414074437
405,6.371368845960362
223,6.337505068946887
331,6.29702372749078
410,6.2932951967848805
495,6.292577706653501
399,6.289031693000829
229,6.260760685523853
262,6.242210710014733
326,6.138068079990349
281,6.126411561699748
90,6.1236075197126025
25,6.036196486406932
38,6.0286678758181536
342,6.021353342805602
24,6.013695047795398
275,6.011443947940053
