Filter Number,Mean Activation in Class
476,91.62018000618302
488,66.90420561321241
165,44.32725449924125
199,36.72122254572223
241,35.92163606168068
284,34.03423598876125
425,33.86935231128573
418,33.640180198576196
203,33.34618770144904
363,32.73953985382604
47,31.466979274789
458,31.45963740369611
120,31.366473992916493
159,30.94803424967014
431,30.454341756547237
10,29.711857123776483
435,29.406350134196988
240,28.766668523101444
491,28.203936478275505
290,27.360658845022925
312,25.602870126878223
102,25.017649529021902
355,23.49131798913117
22,22.65210723716539
232,22.39937836346857
433,22.151933951433755
193,22.125982150687697
215,21.310953625545903
57,21.223575359406272
211,20.951473285890902
367,20.901047131685605
364,20.885361167795423
153,20.572721289419018
179,20.48031610441361
315,20.34584855722347
465,19.807454757800258
293,19.746412391983636
259,19.67421725018472
101,19.373345358746
190,19.29752440071134
197,19.237114333245227
343,19.119518255790524
0,19.072067294731102
448,19.068140884456785
385,19.039944978192693
457,18.992602515179925
141,18.43528352901036
71,18.408025706249553
95,17.716510929630672
467,17.329305673445752
272,17.239390912458916
84,17.002116555208072
451,16.83094005446556
83,16.8168760942497
351,16.73950913816556
307,16.628693334713628
217,16.56758785358845
17,16.443989806821453
202,16.343857961803973
7,16.111939546714176
65,15.535548746383505
474,15.501078808785799
88,15.28234710331904
482,15.117548638153282
100,15.055495039158409
415,15.037015370857691
411,14.864243543512334
51,14.806315653494046
246,14.650548869025863
21,14.57504695730592
99,14.525200726073477
114,14.376018576284984
234,14.299091037714476
442,14.094228578830922
368,14.065431553137751
34,14.008151050793556
370,13.796163103067279
149,13.725853833749465
382,13.618479320268655
225,13.597321646370853
463,13.515654632421988
434,13.374854885990368
2,13.324728158981657
498,13.270019488133695
345,13.186472343017208
314,13.182629648872396
210,13.119769117673751
205,13.078385306357102
449,13.071129193209769
277,13.005030915190861
446,12.949392926523231
395,12.817405342178667
493,12.761249477663105
142,12.698519750273318
23,12.607666390742958
237,12.44925562019966
400,12.399584080476227
472,12.316782073951167
146,12.307157091478242
135,12.275453251953852
156,12.200000899009234
408,11.975615485081445
421,11.933563282841767
317,11.886095459413452
510,11.732535479723213
396,11.68461907151302
308,11.609911549231656
269,11.578025547090332
365,11.567022702049204
390,11.468175575013106
430,11.404759893473429
296,11.374618308808502
461,11.3722724960208
200,11.361603406789563
360,11.319329023599904
170,11.299247343037681
192,11.110904055096311
478,11.086194153602717
1,10.913080031131043
323,10.893951024894315
184,10.718065861879465
181,10.653553139615756
41,10.634257815489223
163,10.538602717590795
35,10.37210572270486
139,10.236352559243883
143,10.19763265452847
39,10.175481868033742
455,10.064057603754508
77,10.03712326820645
140,9.999069129817316
48,9.967508526043721
428,9.873391486055642
412,9.789720291526278
69,9.782208111464797
178,9.753875821609133
177,9.716064273768266
52,9.6893710449887
256,9.686432805013858
377,9.582398297397969
244,9.557327789857517
366,9.509436493924575
75,9.244829170981522
453,9.218314454873346
469,9.186348964106312
257,9.116467508310473
53,9.087876543329251
160,9.056540539124954
254,9.041335385536689
413,9.019611062682028
212,8.942540963764197
15,8.87046722313126
173,8.865606922339056
282,8.856586247338898
42,8.819583667003899
74,8.796313265256527
330,8.765346252154371
222,8.752292708555792
46,8.649882010992219
337,8.610028385041199
361,8.599657398790647
329,8.558590281176155
31,8.55024397820924
301,8.50261601484063
207,8.480727121167819
378,8.424826390781087
407,8.419894141239723
121,8.374388986608357
218,8.340491579437153
206,8.335633069515593
297,8.320325382537192
334,8.318334065554065
260,8.291928777415103
123,8.27105701935808
168,8.261827976578608
176,8.228276646571326
414,8.167457778137507
147,8.159072402188123
118,8.13391240272818
287,8.107658907994589
97,8.046715594077096
499,8.040106586419945
339,8.03652606749283
239,7.998884689245794
503,7.971623737207517
304,7.963450634169393
302,7.9555055008698226
250,7.899517707839759
375,7.882615382122333
158,7.873326426868692
340,7.850288442753944
432,7.779854946431025
112,7.748096453822864
150,7.724428631888899
484,7.707174689154567
167,7.6790422793684225
14,7.608766709122164
424,7.564493433290371
280,7.551822039331464
495,7.520069706705086
96,7.516314544751692
81,7.499506915036913
439,7.478156205739629
59,7.4678736325371515
144,7.463044428772561
426,7.4516983841769795
393,7.429122150700164
508,7.426943128667979
289,7.384534062541082
416,7.357930074581958
399,7.337787613017657
151,7.337502660258288
245,7.2743557067496285
405,7.2422661430807365
509,7.208607867791645
109,7.1892521555846285
169,7.18299073627007
417,7.170653416471197
134,7.169803785030812
471,7.150786591374181
63,7.145173550121241
214,7.128029357051166
16,7.103627892316873
436,7.075247160275173
154,7.043738954704716
166,6.960604538901866
326,6.957253627342527
373,6.928596582260922
78,6.913882229358688
93,6.878303846416579
310,6.877250679452901
129,6.853830470387236
50,6.823658316003169
362,6.78503963057142
443,6.776022080743276
208,6.762486883172333
356,6.711039690499431
91,6.601396252545484
404,6.5290908585634
25,6.523362645302297
485,6.515585281944856
33,6.470839159503953
131,6.466895932804846
316,6.465288152952292
429,6.464136300644331
26,6.439136834523521
349,6.430989114305803
335,6.413919941272262
29,6.413904120005966
394,6.4097916018121195
229,6.391046780852788
86,6.376324496503178
43,6.331091852717354
24,6.305825484998136
275,6.300262716221324
462,6.292627435139102
348,6.272617542236758
20,6.2592156668341525
294,6.2488250609679215
456,6.22701563280206
466,6.201376431255413
328,6.1970024029437285
76,6.191478102003572
130,6.174747515925976
489,6.167881722050137
40,6.120401308062966
427,6.097874650150212
331,6.096464093398819
273,6.0879297088594795
376,6.047524373565284
182,6.046180829307392
185,6.031544547026676
322,6.029767306950805
133,5.988563233814522
251,5.978710699995044
107,5.9167800792401675
72,5.875604661699839
486,5.8601197458659025
188,5.852352481912942
300,5.841379023561307
105,5.834061124758559
494,5.791749743268757
477,5.773033690349079
44,5.7617843428930176
423,5.731859918928738
3,5.704185506825994
92,5.696624632123425
231,5.686167334317747
454,5.677120182905589
122,5.66436102572414
271,5.650658299483338
80,5.6486681793198645
262,5.6222224985593
136,5.609285503233604
204,5.5949800125374916
353,5.591275055393818
352,5.5844808420657905
216,5.5732112765485144
5,5.561552374454805
496,5.496287453409978
90,5.475250295532121
191,5.46037660635725
98,5.453708094825769
473,5.42313622718601
470,5.400420984759257
268,5.397714141320716
221,5.392502879680883
213,5.360776213306866
401,5.353582729340734
180,5.323051873079301
500,5.283017302372892
501,5.281297757106379
511,5.266342578864955
419,5.260885303755082
354,5.258667613342871
13,5.251985808317596
350,5.236219153725658
64,5.223313691609491
106,5.20485046907394
89,5.202190807566357
379,5.183853864284923
410,5.171399593144818
283,5.110208570700838
357,5.110010109163462
113,5.0264428712148455
223,5.0195250999744125
116,4.992090952746672
243,4.967369853612783
342,4.9588773011043905
172,4.954517675152915
333,4.922167843672544
164,4.902572097366091
94,4.88895595073594
397,4.864242666954356
32,4.863983724663482
487,4.8519891330143645
358,4.814025789094697
117,4.812453881470807
38,4.801344280498411
313,4.778867576670115
187,4.774829792518464
124,4.746380159571313
388,4.7197498978157855
359,4.711218326931942
119,4.708357468362724
36,4.704968060809136
306,4.704402784848596
85,4.70284214335212
6,4.665134133928284
497,4.655708863422031
233,4.607846197762649
61,4.5476934470755035
55,4.51530773498465
403,4.5088603065722905
291,4.506452186015136
186,4.50391662678298
67,4.490297871929718
383,4.484395423613938
79,4.480236519318865
68,4.479913819768359
110,4.45015627180129
447,4.446507907115284
387,4.429870103042049
483,4.428945518226121
226,4.421477068392273
285,4.40601060278508
253,4.39577849268378
201,4.380164813867612
104,4.378449272717934
8,4.36744041536924
288,4.363923268432234
258,4.352163348543044
444,4.311807694498741
247,4.27503074099209
115,4.271343079968544
420,4.26950725634616
228,4.268986821894376
264,4.265498060891676
45,4.240295769374901
183,4.234496474488838
391,4.226260117031866
19,4.216049038986675
198,4.210321999468367
227,4.2085422169321625
195,4.201046898743112
230,4.191066068944909
299,4.189826919491517
252,4.184240956478034
502,4.117865048903634
125,4.1140991517843934
459,4.113817322162997
460,4.104631657340386
82,4.0811627924921785
490,4.078147986325117
132,4.050413011783525
263,4.025306107819294
281,3.986758782545337
303,3.975554771810271
506,3.962914892334637
298,3.9569444558044897
174,3.951652744327313
295,3.934913414951725
220,3.932899550823522
27,3.907064963980041
137,3.889889720581084
445,3.887134687846559
341,3.885279095545009
479,3.867900317190686
305,3.861975355417891
70,3.8559837775348704
338,3.848086556221047
155,3.840983004807646
481,3.8243289393889417
292,3.777623582069003
209,3.773146489429114
440,3.766773671142012
267,3.7456586069625404
219,3.74362302338261
437,3.7390170893835433
327,3.707687956527188
265,3.6699863313104837
108,3.6555513570625253
103,3.654250944793649
422,3.637615892056935
438,3.6269796017437588
111,3.6254231987998438
236,3.620603725906432
441,3.6083405996291718
324,3.591640897983289
505,3.5466764150298093
11,3.532072392451036
392,3.5077671668908965
28,3.485314248940485
374,3.4716647994497336
347,3.4317712131403777
504,3.3708293286166815
126,3.3390320397528277
18,3.2504888723712955
274,3.2446805595241863
325,3.2094203088215996
54,3.198006334843285
58,3.1898202715818638
320,3.1809354388445272
157,3.1699602921036067
346,3.153876330249265
344,3.131249791036812
37,3.062301535662129
148,2.9995736089991922
87,2.9942076519612075
384,2.9923502236185167
235,2.9907450738454147
492,2.981416909677847
278,2.9193425209139443
194,2.914118439934827
406,2.896613984940524
238,2.893139517488557
196,2.88059441825254
309,2.8597811930988004
321,2.8506037604242946
386,2.8387968822277903
372,2.8313005337438333
475,2.802255585236648
30,2.763317801298906
332,2.7557856754487315
248,2.745318726724717
369,2.7389053285455107
162,2.7374631953468183
318,2.72455172635089
279,2.693694490890888
464,2.677482924931819
286,2.6558954125587935
336,2.649659019290307
266,2.5862728842091856
507,2.559956223791508
276,2.5374693451461843
380,2.5159723851761187
452,2.511745100295274
73,2.4990901657198847
480,2.48321095571451
255,2.480837615825575
127,2.415224067750877
161,2.3713489652417215
128,2.3418448274788877
450,2.320247847288335
189,2.2815258351695538
468,2.26106081969323
270,2.244933951576251
371,2.2426516634797222
242,2.237089771739522
4,2.130844398535979
398,2.1201909895062396
319,2.088318378001619
389,2.0629905544990734
381,1.9725874199084834
9,1.964352482485496
12,1.9478419364237218
261,1.8948900884683086
62,1.8863808092605443
49,1.8807523586774608
311,1.7963882917599046
145,1.7649696350528898
66,1.7605496555093707
402,1.674288380791767
138,1.6464983065933876
152,1.6371123839408772
56,1.6306638351397704
175,1.5706859837016165
249,1.5439797032093212
409,1.4968810309796483
60,1.1073502020872918
224,1.0751825391704797
171,0.8412670281865408
